XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
579127.94,4438895.51,135,131,68,68.100017
579127.94,4438895.51,135,145,73,79.643567
579127.94,4438895.51,135,153,78,81.27604
578876.211,4438902.21,137,103,69,208.730665
578876.211,4438902.21,137,117,70,100.932622
578876.211,4438902.21,137,165,84,135.449521
579026.065,4438911.98,141,116,71,108.101684
579026.065,4438911.98,141,131,72,74.873663
579026.065,4438911.98,141,149,75,51.973362
579190.424,4438944.89,145,135,73,79.643567
579190.424,4438944.89,145,133,74,101.951252
579190.424,4438944.89,145,195,98,202.7942
579005.621,4438959.5,149,141,75,51.973362
579005.621,4438959.5,149,153,77,79.634396
579005.621,4438959.5,149,177,89,101.349828
571508.143,4438885.08,151,152,76,426.354231
571854.614,4438963.51,152,151,76,426.354231
571854.614,4438963.51,152,163,82,344.127525
571854.614,4438963.51,152,200,100,105.382085
579084.684,4438964.21,153,149,77,79.634396
579084.684,4438964.21,153,135,78,81.27604
579084.684,4438964.21,153,241,121,245.272842
572871.152,4438967,157,158,79,74.37834
572871.152,4438967,157,169,85,101.268963
572871.152,4438967,157,492,246,728.587281
572942.864,4438947.26,158,157,79,74.37834
579497.594,4438967.98,159,133,80,266.558311
579497.594,4438967.98,159,171,86,45.57075
579497.594,4438967.98,159,195,99,177.857844
578443.31,4438877.51,161,162,81,97.510413
578443.31,4438877.51,161,180,90,317.599789
578443.31,4438877.51,161,191,96,331.29394
578471.257,4438969.61,162,161,81,97.510413
578471.257,4438969.61,162,184,92,106.72331
578471.257,4438969.61,162,203,103,240.217448
571510.768,4438977.35,163,152,82,344.127525
578772.747,4438989.6,165,107,83,218.021718
578772.747,4438989.6,165,137,84,135.449521
578772.747,4438989.6,165,191,97,120.070945
572773.376,4438993.36,169,157,85,101.268963
572773.376,4438993.36,169,173,88,511.405264
572773.376,4438993.36,169,217,110,466.099806
579529.22,4439000.61,171,159,86,45.57075
572309.532,4439003.91,173,174,87,731.426928
572309.532,4439003.91,173,169,88,511.405264
572309.532,4439003.91,173,181,91,79.621395
572309.532,4439003.91,173,217,109,97.815922
572798.384,4438652.71,174,173,87,731.426928
578923,4439018.14,177,149,89,101.349828
578923,4439018.14,177,229,115,159.365127
578923,4439018.14,177,295,148,316.136938
578181.052,4439020.78,180,161,90,317.599789
578181.052,4439020.78,180,203,102,109.251777
572232.746,4439024.97,181,173,91,79.621395
578534.132,4439055.73,184,162,92,106.72331
578534.132,4439055.73,184,237,120,145.92801
578534.132,4439055.73,184,275,139,189.849445
540201.707,4439058.49,185,78,93,820.013083
540201.707,4439058.49,185,213,108,337.080556
540201.707,4439058.49,185,255,128,303.880916
579569.787,4439058.65,187,188,94,29.948572
579569.787,4439058.65,187,189,95,40.180006
579569.787,4439058.65,187,208,104,46.176744
579569.787,4439058.65,187,221,111,52.126774
579552.396,4439034.27,188,187,94,29.948572
579604.273,4439038.03,189,187,95,40.180006
578682.162,4439068.37,191,161,96,331.29394
578682.162,4439068.37,191,165,97,120.070945
578682.162,4439068.37,191,301,152,203.248767
579351.191,4439068.46,195,145,98,202.7942
579351.191,4439068.46,195,159,99,177.857844
579351.191,4439068.46,195,247,124,114.985851
571847.905,4439068.68,200,152,100,105.382085
571847.905,4439068.68,200,209,105,693.417366
571847.905,4439068.68,200,260,130,132.898336
536953.309,4439082.69,202,66,101,1074.89676
536953.309,4439082.69,202,227,114,149.343637
536953.309,4439082.69,202,283,142,1469.07707
578267.767,4439085.17,203,180,102,109.251777
578267.767,4439085.17,203,162,103,240.217448
578267.767,4439085.17,203,237,119,166.263318
579532.839,4439086.35,208,187,104,46.176744
579532.839,4439086.35,208,224,112,32.118611
579532.839,4439086.35,208,224,113,31.481569
571374.941,4438826.44,209,200,105,693.417366
578136.15,4439092.08,211,212,106,124.969831
578136.15,4439092.08,211,243,123,71.065781
578136.15,4439092.08,211,293,147,234.632397
578029.164,4439027.49,212,211,106,124.969831
578029.164,4439027.49,212,1228196,614098,19.968378
539867.022,4439097.84,213,93,107,803.5591
539867.022,4439097.84,213,185,108,337.080556
539867.022,4439097.84,213,233,118,317.93772
572319.945,4439100.92,217,173,109,97.815922
572319.945,4439100.92,217,169,110,466.099806
572319.945,4439100.92,217,251,126,74.303272
579599.343,4439101.59,221,187,111,52.126774
579599.343,4439101.59,221,231,116,40.08184
579599.343,4439101.59,221,265,134,177.185084
579507.183,4439102.28,224,208,112,32.118611
579507.183,4439102.28,224,208,113,31.481569
579507.183,4439102.28,224,247,125,100.677199
536808.882,4439120.7,227,202,114,149.343637
579032.889,4439132.4,229,177,115,159.365127
579032.889,4439132.4,229,271,136,107.673128
579032.889,4439132.4,229,295,149,150.821163
579622.271,4439134.46,231,221,116,40.08184
539551.209,4439134.54,233,48,117,1588.04792
539551.209,4439134.54,233,213,118,317.93772
539551.209,4439134.54,233,254,127,321.978766
539551.209,4439134.54,233,867,434,1025.19825
578421.345,4439146.7,237,203,119,166.263318
578421.345,4439146.7,237,184,120,145.92801
578421.345,4439146.7,237,275,138,112.504568
579232.095,4439150.47,241,153,121,245.272842
579232.095,4439150.47,241,271,137,131.837037
579232.095,4439150.47,241,307,154,180.640596
578103.031,4439154.96,243,244,122,104.003047
578103.031,4439154.96,243,211,123,71.065781
578103.031,4439154.96,243,289,145,127.547045
578103.031,4439154.96,243,464,232,560.343858
578015.81,4439098.33,244,243,122,104.003047
579423.229,4439157.68,247,195,124,114.985851
579423.229,4439157.68,247,224,125,100.677199
579423.229,4439157.68,247,257,129,46.028161
572337.074,4439172.9,251,217,126,74.303272
572337.074,4439172.9,251,262,131,121.473781
572337.074,4439172.9,251,445,223,429.421235
539231.873,4439175.61,254,233,127,321.978766
539231.873,4439175.61,254,283,146,866.921024
539231.873,4439175.61,254,364,182,234.945317
540475.313,4439186.92,255,185,128,303.880916
